정류소아이디,모바일아이디,정류소명,영문명,시도,구군,동,경도,위도,경유노선수,경유노선
7361000423,10423,정리,Jeong-ri,대구광역시,군위군,군위읍,128.5602,36.25151,1,군위3
7361000424,10424,정리,Jeong-ri,대구광역시,군위군,군위읍,128.560072,36.25148,2,군위2+군위3
7361000426,10426,정리,Jeong-ri,대구광역시,군위군,군위읍,128.562187,36.246557,2,군위2+군위3
7361000428,10428,사직1리,sajik1ri,대구광역시,군위군,군위읍,128.55672,36.229607,1,군위4
7361000429,10429,사직1리,sajik1ri,대구광역시,군위군,군위읍,128.556858,36.229608,1,군위4
7361000432,10432,수서1리,Suseo1ri,대구광역시,군위군,군위읍,128.55803,36.213528,2,군위4+군위8
7361000312,10312,광현3리,gwanghyeon3ri,대구광역시,군위군,군위읍,128.609332,36.238807,1,군위1
7361000416,10416,외량리,Oeryang-ri,대구광역시,군위군,군위읍,128.547237,36.25709,2,군위2+군위3
7361000431,10431,사직2리,sajik2ri,대구광역시,군위군,군위읍,128.555275,36.225057,1,군위4
7361000559,10559,하곡리-동리,Hagok-ri-dong-ri,대구광역시,군위군,군위읍,128.583955,36.235913,1,군위1
7361000560,10560,군위국민체육센터,gunwigungmincheyuksenteo,대구광역시,군위군,군위읍,128.573032,36.237648,9,군위1+군위10+군위11+군위2+군위5+군위6+군위7+군위8+군위9
7361000092,10092,외량1리,oeryang1ri,대구광역시,군위군,군위읍,128.544838,36.26108,2,군위2+군위3
7361000093,10093,외량1리,oeryang1ri,대구광역시,군위군,군위읍,128.54488,36.261263,2,군위2+군위3
7361000096,10096,대흥2리,daeheung2ri,대구광역시,군위군,군위읍,128.537602,36.274092,1,군위3
7361000097,10097,대흥리,Daeheung-ri,대구광역시,군위군,군위읍,128.5322,36.278485,1,군위3
7361000098,10098,대흥리,Daeheung-ri,대구광역시,군위군,군위읍,128.532273,36.27852,1,군위3
7361003700,15020,군위버스터미널건너,Gunwi Bus Terminal,대구광역시,군위군,군위읍,128.569355,36.229965,6,군위10+군위11+군위2+군위7+군위9+급행9
7361003800,15022,군위버스터미널앞,Gunwi Bus Terminal,대구광역시,군위군,군위읍,128.569357,36.23049,10,군위1+군위10+군위11+군위2+군위5+군위6+군위7+군위8+군위9+급행9
7361003900,15021,군위군청,Gunwi-Gun Office,대구광역시,군위군,군위읍,128.571887,36.242307,1,급행9
7361000286,10286,금구1리,Geumgu 1-ri,대구광역시,군위군,군위읍,128.565407,36.217495,10,군위1+군위10+군위11+군위2+군위5+군위6+군위7+군위8+군위9+급행9
7361000272,10272,무성2.3리,Museong 2.3-ri,대구광역시,군위군,군위읍,128.568502,36.19008,10,군위1+군위10+군위11+군위2+군위5+군위6+군위7+군위8+군위9+급행9
7361000275,10275,금구2리,Geumgu 2-ri,대구광역시,군위군,군위읍,128.564328,36.203882,9,군위1+군위10+군위11+군위2+군위5+군위6+군위7+군위9+급행9
7361000062,10062,상곡리,Sanggok-ri,대구광역시,군위군,군위읍,128.605413,36.24787,1,군위1
7361000558,10558,하곡리-동리,Hagok-ri-dong-ri,대구광역시,군위군,군위읍,128.583977,36.235995,1,군위1
7361000430,10430,사직2리,sajik2ri,대구광역시,군위군,군위읍,128.555407,36.22504,1,군위4
7361000308,10308,동부사거리,dongbusageori,대구광역시,군위군,군위읍,128.573685,36.236262,1,군위1
7361000273,10273,무성리,Museong-ri,대구광역시,군위군,군위읍,128.564335,36.194618,9,군위1+군위10+군위11+군위2+군위5+군위6+군위7+군위8+군위9
7361000276,10276,수서1리,Suseo1ri,대구광역시,군위군,군위읍,128.557727,36.213448,1,군위4
7361000277,10277,수서1리,Suseo1ri,대구광역시,군위군,군위읍,128.557925,36.21336,1,군위8
7361000281,10281,군위공용버스터미널,Gunwi Bus Terminal,대구광역시,군위군,군위읍,128.568603,36.23003,11,군위1+군위10+군위11+군위2+군위3+군위4+군위5+군위6+군위7+군위8+군위9
7361000282,10282,군위우체국앞,gunwiuchegugap,대구광역시,군위군,군위읍,128.566507,36.235638,11,군위1+군위10+군위11+군위2+군위3+군위4+군위5+군위6+군위7+군위8+군위9
7361000283,10283,군위군 행정복지센터,Gunwi-gun Community Service Center,대구광역시,군위군,군위읍,128.568085,36.24004,11,군위1+군위10+군위11+군위2+군위3+군위4+군위5+군위6+군위7+군위8+군위9
7361000295,10295,외량3리,oeryang3ri,대구광역시,군위군,군위읍,128.543467,36.270767,1,군위3
7361000298,10298,서부리,Seobu-ri,대구광역시,군위군,군위읍,128.56713,36.241317,2,군위3+군위4
7361000299,10299,서부리,Seobu-ri,대구광역시,군위군,군위읍,128.567107,36.241208,3,군위2+군위3+군위4
7361000300,10300,오곡리입구,Ogok-ri,대구광역시,군위군,군위읍,128.57336,36.268415,1,군위2
7361000301,10301,오곡리마을회관,Ogok-ri,대구광역시,군위군,군위읍,128.583457,36.2751,1,군위2
7361000302,10302,오곡리건너편,Ogok-ri,대구광역시,군위군,군위읍,128.578623,36.278412,1,군위2
7361000304,10304,대북1리,daebuk1ri,대구광역시,군위군,군위읍,128.565212,36.269045,1,군위2
7361000307,10307,동부사거리,dongbusageori,대구광역시,군위군,군위읍,128.57368,36.236155,1,군위1
7361000309,10309,상곡리-토일,Sanggok-ri-toil,대구광역시,군위군,군위읍,128.605283,36.247893,0,
7361000310,10310,용대리,Yongdae-ri,대구광역시,군위군,군위읍,128.600855,36.23241,1,군위1
7361000314,10314,광현2리,gwanghyeon2ri,대구광역시,군위군,군위읍,128.62152,36.2474,1,군위1
7361000315,10315,광현2리,gwanghyeon2ri,대구광역시,군위군,군위읍,128.621542,36.247292,1,군위1
7361000316,10316,광현1리,gwanghyeon1ri,대구광역시,군위군,군위읍,128.633325,36.245952,1,군위1
7361000317,10317,광현1리,gwanghyeon1ri,대구광역시,군위군,군위읍,128.633338,36.24606,0,
7361000580,10580,군위군농산물공판장,gunwigunnongsanmulgongpanjang,대구광역시,군위군,군위읍,128.564757,36.243425,2,군위3+군위4
7361000581,10581,군위군농산물공판장,gunwigunnongsanmulgongpanjang,대구광역시,군위군,군위읍,128.564657,36.24335,3,군위2+군위3+군위4
7361000583,10583,군위병원,gunwibyeongwon,대구광역시,군위군,군위읍,128.566587,36.232312,11,군위1+군위10+군위11+군위2+군위3+군위4+군위5+군위6+군위7+군위8+군위9
7361000586,10586,군위군민회관,gunwigunminhoegwan,대구광역시,군위군,군위읍,128.570377,36.232578,9,군위1+군위10+군위11+군위2+군위5+군위6+군위7+군위8+군위9
7361000638,10638,군위공용버스터미널,Gunwi Bus Terminal,대구광역시,군위군,군위읍,128.568715,36.23009,11,군위1+군위10+군위11+군위2+군위3+군위4+군위5+군위6+군위7+군위8+군위9
7361000633,10633,금구2리,Geumgu 2-ri,대구광역시,군위군,군위읍,128.563732,36.204282,9,군위1+군위10+군위11+군위2+군위5+군위6+군위7+군위9+급행9
7361000274,10274,무성리,Museong-ri,대구광역시,군위군,군위읍,128.563748,36.195743,9,군위1+군위10+군위11+군위2+군위5+군위6+군위7+군위8+군위9
7361000284,10284,군위군 행정복지센터,Gunwi-gun Community Service Center,대구광역시,군위군,군위읍,128.568252,36.240068,11,군위1+군위10+군위11+군위2+군위3+군위4+군위5+군위6+군위7+군위8+군위9
7361000280,10280,금구1리,Geumgu 1-ri,대구광역시,군위군,군위읍,128.566095,36.217658,10,군위1+군위10+군위11+군위2+군위5+군위6+군위7+군위8+군위9+급행9
7361000555,10555,용대리,Yongdae-ri,대구광역시,군위군,군위읍,128.598307,36.23235,1,군위1
7361000095,10095,대흥2리,daeheung2ri,대구광역시,군위군,군위읍,128.53753,36.274,1,군위3
7361000578,10578,수서2리,Suseo2ri,대구광역시,군위군,군위읍,128.56096,36.202345,1,군위8
7361000584,10584,군위병원,gunwibyeongwon,대구광역시,군위군,군위읍,128.566735,36.232322,11,군위1+군위10+군위11+군위2+군위3+군위4+군위5+군위6+군위7+군위8+군위9
7361000311,10311,용대리,Yongdae-ri,대구광역시,군위군,군위읍,128.601055,36.232288,1,군위1
7361000554,10554,용대리,Yongdae-ri,대구광역시,군위군,군위읍,128.598258,36.232455,1,군위1
7361000556,10556,하곡리-속골,Hagok-ri-sokgol,대구광역시,군위군,군위읍,128.592378,36.231253,1,군위1
7361000557,10557,하곡리-속골,Hagok-ri-sokgol,대구광역시,군위군,군위읍,128.592428,36.231318,1,군위1
7361000561,10561,군위국민체육센터,gunwigungmincheyuksenteo,대구광역시,군위군,군위읍,128.573168,36.237668,9,군위1+군위10+군위11+군위2+군위5+군위6+군위7+군위8+군위9
7361000562,10562,군위군청,Gunwi Country Office,대구광역시,군위군,군위읍,128.57245,36.240617,9,군위1+군위10+군위11+군위2+군위5+군위6+군위7+군위8+군위9
7361000563,10563,군위중-고등학교,gunwijung-High School,대구광역시,군위군,군위읍,128.570592,36.244415,1,군위2
7361000565,10565,대북2리,daebuk2ri,대구광역시,군위군,군위읍,128.558513,36.25874,1,군위2
7361000577,10577,수서2리,Suseo2ri,대구광역시,군위군,군위읍,128.561045,36.202352,1,군위8
7361000579,10579,수서2리,Suseo2ri,대구광역시,군위군,군위읍,128.558757,36.20031,0,
7361000313,10313,광현3리,gwanghyeon3ri,대구광역시,군위군,군위읍,128.609418,36.238725,1,군위1
7361000427,10427,정리,Jeong-ri,대구광역시,군위군,군위읍,128.5623,36.246613,1,군위3
7361009000,,용대3길,,대구광역시,군위군,군위읍,128.604848,36.228357,1,군위1
7361009100,,하곡리,,대구광역시,군위군,군위읍,128.584505,36.238,1,군위1
7361000271,10271,무성2.3리,Museong 2.3-ri,대구광역시,군위군,군위읍,128.568082,36.190735,10,군위1+군위10+군위11+군위2+군위5+군위6+군위7+군위8+군위9+급행9
7361000094,10094,외량3리,oeryang3ri,대구광역시,군위군,군위읍,128.543387,36.270682,1,군위3
7361000582,10582,역사테마공원,yeoksatemagongwon,대구광역시,군위군,군위읍,128.566797,36.236275,11,군위1+군위10+군위11+군위2+군위3+군위4+군위5+군위6+군위7+군위8+군위9
7361000585,10585,동부리,Dongbu-ri,대구광역시,군위군,군위읍,128.571293,36.233782,9,군위1+군위10+군위11+군위2+군위5+군위6+군위7+군위8+군위9
7361000343,10343,정3리,jeong3ri,대구광역시,군위군,군위읍,128.569088,36.253963,1,군위2
7361000414,10414,삽령리,Samnyeong-ri,대구광역시,군위군,군위읍,128.535928,36.264368,1,군위2
7361000415,10415,외량리,Oeryang-ri,대구광역시,군위군,군위읍,128.547188,36.257022,1,군위3
7361000417,10417,내량2리,naeryang2ri,대구광역시,군위군,군위읍,128.53748,36.246685,1,군위2
7361000418,10418,내량2리,naeryang2ri,대구광역시,군위군,군위읍,128.533507,36.247912,1,군위2
7361000419,10419,내량2리,naeryang2ri,대구광역시,군위군,군위읍,128.534205,36.24957,1,군위2
7361000420,10420,외량2리,oeryang2ri,대구광역시,군위군,군위읍,128.535012,36.251322,1,군위2
7361000421,10421,외량2리,oeryang2ri,대구광역시,군위군,군위읍,128.534915,36.252498,1,군위2
7361000422,10422,외량리,Oeryang-ri,대구광역시,군위군,군위읍,128.539057,36.259028,1,군위2
7361000373,10373,창평리,Changpyeong-ri,대구광역시,군위군,부계면,128.69798,36.083547,2,군위11+군위9
7361000167,10167,창평2리,changpyeong2ri,대구광역시,군위군,부계면,128.67816,36.093732,2,군위11+군위9
7361000168,10168,창평2리,changpyeong2ri,대구광역시,군위군,부계면,128.67815,36.093842,2,군위11+군위9
7361000446,10446,대율1리,Daeyul 1-ri,대구광역시,군위군,부계면,128.655183,36.060428,3,군위8+급행9+급행9-1
7361000285,10285,가호1,gaho1,대구광역시,군위군,부계면,128.665548,36.092417,1,군위8
7361000624,10624,창평리,Changpyeong-ri,대구광역시,군위군,부계면,128.661858,36.102485,1,군위8
7361000626,10626,신화2리,sinhwa2ri,대구광역시,군위군,부계면,128.646302,36.109972,1,군위8
7361000155,10155,남산2리,Namsan2ri,대구광역시,군위군,부계면,128.640847,36.032542,1,군위8
7361000372,10372,창평리,Changpyeong-ri,대구광역시,군위군,부계면,128.697902,36.083455,2,군위11+군위9
7361000625,10625,신화2리,sinhwa2ri,대구광역시,군위군,부계면,128.646405,36.11004,1,군위8
7361000623,10623,창평리,Changpyeong-ri,대구광역시,군위군,부계면,128.661962,36.10256,1,군위8
7361000438,10438,남산1리,Namsan1ri,대구광역시,군위군,부계면,128.641187,36.045102,2,군위6+군위8
7361000439,10439,남산리,Namsan-ri,대구광역시,군위군,부계면,128.640253,36.041843,1,군위8
7361000440,10440,남산리,Namsan-ri,대구광역시,군위군,부계면,128.640137,36.04183,1,군위8
7361000441,10441,동산1리,dongsan1ri,대구광역시,군위군,부계면,128.654245,36.049817,2,군위6+군위8
7361000442,10442,동산1리,dongsan1ri,대구광역시,군위군,부계면,128.654168,36.049907,1,군위8
7361000443,10443,대율리,Daeyul-ri,대구광역시,군위군,부계면,128.655083,36.055483,1,군위8
7361000444,10444,대율리,Daeyul-ri,대구광역시,군위군,부계면,128.654975,36.055457,1,군위8
7361000448,10448,춘산리,Chunsan-ri,대구광역시,군위군,부계면,128.658472,36.068182,0,
7361000166,10166,가호1,gaho1,대구광역시,군위군,부계면,128.66542,36.092405,1,군위8
7361003000,15001,석굴암IC교아래,Seokgulam IC,대구광역시,군위군,부계면,128.651187,36.052118,2,급행9+급행9-1
7361003100,15041,석굴암IC교아래,Seokgulam IC,대구광역시,군위군,부계면,128.651007,36.052303,3,군위6+급행9+급행9-1
7361003200,15003,백송온천호텔앞,Baseksong Hot Spring Hotel,대구광역시,군위군,부계면,128.658645,36.06816,3,군위8+급행9+급행9-1
7361003300,15039,백송온천호텔건너,Baseksong Hot Spring Hotel,대구광역시,군위군,부계면,128.658508,36.068117,3,군위8+급행9+급행9-1
7361000620,10620,화계2리,Hwagye 2-ri,대구광역시,군위군,부계면,128.644047,36.111935,2,군위8+급행9
7361000622,10622,신화1리,Shinhwa 1-ri,대구광역시,군위군,부계면,128.649077,36.106648,2,군위8+급행9
7361004900,15043,창평1리,Changpyeong 1-ri,대구광역시,군위군,부계면,128.665735,36.098798,1,급행9-1
7361000445,10445,대율1리,Daeyul 1-ri,대구광역시,군위군,부계면,128.655262,36.060433,3,군위8+급행9+급행9-1
7361000449,10449,춘산리(현창),Chunsan-ri(Hyeonchang),대구광역시,군위군,부계면,128.6562,36.077895,3,군위8+급행9+급행9-1
7361006100,15005,춘산리(양지),Chunsan-ri(Yangji),대구광역시,군위군,부계면,128.66253,36.087498,2,급행9+급행9-1
7361000450,10450,창평1리,Changpyeong 1-ri,대구광역시,군위군,부계면,128.66512,36.099132,4,군위11+군위8+군위9+급행9
7361000621,10621,신화1리,Shinhwa 1-ri,대구광역시,군위군,부계면,128.649058,36.106735,2,군위8+급행9
7361000249,10249,창평1리,Changpyeong 1-ri,대구광역시,군위군,부계면,128.665013,36.099125,3,군위8+급행9+급행9-1
7361007900,15037,춘산리(양지),Chunsan-ri(Yangji),대구광역시,군위군,부계면,128.664018,36.088765,2,급행9+급행9-1
7361008000,15038,춘산리(현창),Chunsan-ri(Hyeonchang),대구광역시,군위군,부계면,128.65644,36.078983,3,군위8+급행9+급행9-1
7361000252,10252,명산리,Myeongsan-ri,대구광역시,군위군,부계면,128.634727,36.100815,1,군위8
7361000153,10153,남산2리,Namsan2ri,대구광역시,군위군,부계면,128.63926,36.03616,1,군위8
7361000154,10154,남산2리,Namsan2ri,대구광역시,군위군,부계면,128.639377,36.036108,1,군위8
7361000156,10156,남산2리,Namsan2ri,대구광역시,군위군,부계면,128.64098,36.032548,1,군위8
7361000157,10157,제2석굴암,je2Seokguram,대구광역시,군위군,부계면,128.64325,36.048197,2,군위6+군위8
7361000158,10158,제2석굴암,je2Seokguram,대구광역시,군위군,부계면,128.643192,36.048297,2,군위6+군위8
7361000159,10159,동산2리,dongsan2ri,대구광역시,군위군,부계면,128.64737,36.048923,2,군위6+군위8
7361000160,10160,대율2리,daeyul2ri,대구광역시,군위군,부계면,128.655132,36.05784,1,군위8
7361000161,10161,대율2리,daeyul2ri,대구광역시,군위군,부계면,128.65522,36.057813,1,군위8
7361000163,10163,가호2리,gaho2ri,대구광역시,군위군,부계면,128.678622,36.0695,0,
7361000164,10164,가호1리 마을회관,gaho1,대구광역시,군위군,부계면,128.665173,36.087205,1,군위8
7361000165,10165,가호1리 마을회관,gaho1,대구광역시,군위군,부계면,128.665047,36.087247,1,군위8
7361000152,10152,남산1리,Namsan1ri,대구광역시,군위군,부계면,128.64101,36.044903,2,군위6+군위8
7361000179,10179,무암1리,muam1ri,대구광역시,군위군,산성면,128.704012,36.10745,2,군위11+군위9
7361000466,10466,산성치안센터,Sansung Police Operations Center,대구광역시,군위군,산성면,128.695415,36.125832,3,군위11+군위9+급행9-1
7361000070,10070,백학2리,baekhak2ri,대구광역시,군위군,산성면,128.699745,36.06198,2,군위11+군위9
7361000488,10488,화전2리,Hwajeon 2-ri,대구광역시,군위군,산성면,128.702107,36.139875,2,군위11+급행9-1
7361005800,15058,화본1리 마을회관,Hwabon 1-ri Maeul Center,대구광역시,군위군,산성면,128.694772,36.124518,1,급행9-1
7361000487,10487,화전2리,Hwajeon 2-ri,대구광역시,군위군,산성면,128.702405,36.140198,2,군위11+급행9-1
7361000169,10169,백학1리,baekhak1ri,대구광역시,군위군,산성면,128.702537,36.079142,2,군위11+군위9
7361000170,10170,백학1리,baekhak1ri,대구광역시,군위군,산성면,128.70267,36.079153,2,군위11+군위9
7361000171,10171,백학2리,baekhak2ri,대구광역시,군위군,산성면,128.69987,36.06202,0,
7361000172,10172,삼산2리,samsan2ri,대구광역시,군위군,산성면,128.704432,36.088585,2,군위11+군위9
7361000173,10173,삼산2리,samsan2ri,대구광역시,군위군,산성면,128.704292,36.088583,2,군위11+군위9
7361000175,10175,삼산1리,samsan1ri,대구광역시,군위군,산성면,128.709015,36.0961,2,군위11+군위9
7361000176,10176,봉림2리,Bongnim2ri,대구광역시,군위군,산성면,128.721977,36.09164,1,군위9
7361000177,10177,무암2리,muam2ri,대구광역시,군위군,산성면,128.714917,36.099992,2,군위11+군위9
7361000180,10180,무암1리,muam1ri,대구광역시,군위군,산성면,128.703973,36.107347,2,군위11+군위9
7361000182,10182,화전리,Hwajeon-ri,대구광역시,군위군,산성면,128.697447,36.133492,1,군위11
7361000374,10374,삼산2리,samsan2ri,대구광역시,군위군,산성면,128.70364,36.08568,2,군위11+군위9
7361000376,10376,봉림1리,Bongnim1ri,대구광역시,군위군,산성면,128.71744,36.093578,1,군위9
7361000467,10467,산성치안센터,Sansung Police Operations Center,대구광역시,군위군,산성면,128.695308,36.125872,2,군위11+군위9
7361000464,10464,산성면 행정복지센터,Sanseong-myeon Community Service Center,대구광역시,군위군,산성면,128.694658,36.123277,2,군위11+군위9
7361000178,10178,무암2리,muam2ri,대구광역시,군위군,산성면,128.714792,36.09995,2,군위11+군위9
7361000460,10460,운산,unsan,대구광역시,군위군,산성면,128.699245,36.109205,2,군위11+군위9
7361009600,,화본리,,대구광역시,군위군,산성면,128.7045,36.122555,1,군위9
7361000452,10452,백학2리,baekhak2ri,대구광역시,군위군,산성면,128.699585,36.063942,2,군위11+군위9
7361000652,10652,봉림삼거리,,대구광역시,군위군,산성면,128.715878,36.095307,1,군위9
7361000653,10653,백학삼거리,,대구광역시,군위군,산성면,128.70166,36.0815,2,군위11+군위9
7361000654,10654,백학삼거리,,대구광역시,군위군,산성면,128.70187,36.081398,2,군위11+군위9
7361000655,10655,봉림삼거리,,대구광역시,군위군,산성면,128.715687,36.095315,2,군위11+군위9
